song_id,artist,title,period,genre,ttr,mattr,fk_grade
e73417eff4b6,Parni valjak,Kada me dotakne,sfrj,rok,0.890625,0.892,8.65
91a5435ac866,Parni valjak,Kao prije,sfrj,rok,0.5377358490566038,0.7007017543859648,11.4
5cdd63e41916,Parni valjak,Kao ti,sfrj,rok,0.6428571428571429,0.7048979591836735,5.86
5bab4dc32dcb,Parni valjak,Kaži ja,sfrj,rok,0.384,0.6344736842105263,6.27
923b2ef8d224,Parni valjak,Kemija,sfrj,rok,0.6764705882352942,0.7810526315789473,10.19
c434f232102e,Parni valjak,Ljubavna,sfrj,rok,0.5,0.8307964601769912,7.74
ff6bd236513d,Parni valjak,Lutka za bal,sfrj,rok,0.8313253012048193,0.8852941176470589,6.02
2d38275899bb,Parni valjak,Lutrija,sfrj,rok,0.427536231884058,0.5858426966292135,6.9
da697148eb1d,Parni valjak,Ma ‘ajde (gledaj stvari mojim očima),sfrj,rok,0.4897959183673469,0.7148979591836735,10.41
3dcbe624785d,Parni valjak,Mala laž,sfrj,rok,0.5882352941176471,0.7377142857142858,8.17
b5edfc269a1b,Parni valjak,Mijenjam se,sfrj,rok,0.5798319327731093,0.7639999999999999,7.87
92ed75aac9de,Parni valjak,Mir na jastuku,sfrj,rok,0.52,0.7086842105263158,2.21
f68854663c78,Parni valjak,Moja je pjesma lagana,sfrj,rok,0.719626168224299,0.81,9.52
178d8ef60f8c,Parni valjak,Moje dnevne paranoje,sfrj,rok,0.7938144329896907,0.8383333333333334,6.74
48699d58c852,Parni valjak,Molitva,sfrj,rok,0.703125,0.7526582278481013,7.65
15ac8e53eab6,Parni valjak,Ne zovi,sfrj,rok,0.5864661654135338,0.7778571428571429,6.87
68b6f348f700,Parni valjak,Neda,sfrj,rok,0.7619047619047619,0.8228571428571428,9.25
3b15460afc7e,Parni valjak,Nemirno more,sfrj,rok,0.6829268292682927,0.8689189189189189,7.84
80530c38b080,Parni valjak,Oba lica ljubavi,sfrj,rok,0.48091603053435117,0.6892682926829269,7.23
c431e5d8f6b6,Parni valjak,Ona je tako prokleto mlada,sfrj,rok,0.6956521739130435,0.7396969696969697,6.2
